load_param_mean,fragile_volume_share,dim_m_max_to_vh
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.5333333333333333
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.5333333333333333
0.0,0.0,0.5333333333333333
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.43333333333333335
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.4
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.5333333333333333
0.0,0.0,0.5666666666666667
0.0,0.0,0.5333333333333333
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.4666666666666667
0.0,0.0,0.5333333333333333
0.0,0.0,0.4666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.5333333333333333
0.0,0.0,0.5333333333333333
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.43333333333333335
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.5
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.5333333333333333
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.4
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.43333333333333335
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.5333333333333333
0.0,0.0,0.5333333333333333
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5333333333333333
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.4
0.0,0.0,0.5333333333333333
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.43333333333333335
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.36666666666666664
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5333333333333333
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.5
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.43333333333333335
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.5333333333333333
0.0,0.0,0.5333333333333333
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.5333333333333333
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.4666666666666667
0.0,0.0,0.5333333333333333
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.43333333333333335
0.0,0.0,0.5333333333333333
0.0,0.0,0.43333333333333335
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.43333333333333335
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.4666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5333333333333333
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.43333333333333335
0.0,0.0,0.4
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5333333333333333
0.0,0.0,0.5333333333333333
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.5333333333333333
0.0,0.0,0.5333333333333333
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.5
0.0,0.0,0.5333333333333333
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5333333333333333
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.43333333333333335
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.43333333333333335
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.43333333333333335
0.0,0.0,0.43333333333333335
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.4666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.3
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
0.0,0.0,0.4666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5666666666666667
0.0,0.0,0.5
0.0,0.0,0.5666666666666667
0.0,0.0,0.6
